potez: 
redni broj figure: 0, rank: 2, file: 3potez: 
redni broj figure: 0, rank: 2, file: 5potez: 
redni broj figure: 2, rank: 2, file: 5potez: 
redni broj figure: 2, rank: 3, file: 5potez: 
redni broj figure: 2, rank: 4, file: 5potez: 
redni broj figure: 2, rank: 5, file: 5potez: 
redni broj figure: 2, rank: 6, file: 5potez: 
redni broj figure: 2, rank: 7, file: 5potez: 
redni broj figure: 2, rank: 8, file: 5potez: 
redni broj figure: 2, rank: 1, file: 6potez: 
redni broj figure: 2, rank: 1, file: 7potez: 
redni broj figure: 2, rank: 1, file: 4potez: 
redni broj figure: 2, rank: 1, file: 3potez: 
redni broj figure: 2, rank: 1, file: 2potez: 
redni broj figure: 2, rank: 1, file: 1potez: 
redni broj figure: 3, rank: 1, file: 7potez: 
redni broj figure: 3, rank: 1, file: 6potez: 
redni broj figure: 4, rank: 3, file: 5potez: 
redni broj figure: 4, rank: 4, file: 6potez: 
redni broj figure: 4, rank: 5, file: 7potez: 
redni broj figure: 4, rank: 1, file: 3potez: 
redni broj figure: 5, rank: 5, file: 4potez: 
redni broj figure: 5, rank: 6, file: 5potez: 
redni broj figure: 5, rank: 7, file: 6potez: 
redni broj figure: 5, rank: 8, file: 7potez: 
redni broj figure: 5, rank: 3, file: 2potez: 
redni broj figure: 5, rank: 5, file: 2potez: 
redni broj figure: 5, rank: 6, file: 1potez: 
redni broj figure: 7, rank: 4, file: 6potez: 
redni broj figure: 7, rank: 2, file: 6potez: 
redni broj figure: 7, rank: 5, file: 7potez: 
redni broj figure: 7, rank: 1, file: 7potez: 
redni broj figure: 8, rank: 3, file: 1potez: 
redni broj figure: 8, rank: 4, file: 1potez: 
redni broj figure: 9, rank: 3, file: 2potez: 
redni broj figure: 9, rank: 4, file: 2potez: 
redni broj figure: 11, rank: 5, file: 4potez: 
redni broj figure: 11, rank: 6, file: 4potez: 
redni broj figure: 11, rank: 3, file: 6potez: 
redni broj figure: 11, rank: 3, file: 7potez: 
redni broj figure: 11, rank: 2, file: 3potez: 
redni broj figure: 11, rank: 1, file: 2potez: 
redni broj figure: 11, rank: 2, file: 5potez: 
redni broj figure: 11, rank: 1, file: 6potez: 
redni broj figure: 14, rank: 3, file: 7potez: 
redni broj figure: 14, rank: 4, file: 7
